text,label
"This is repellent and I want nothing to do with it",1
"I'm appalled by the depravity on display here",1
"This is loathsome and completely unforgivable",1
"I feel dirty and tainted after witnessing this",1
"This makes me so angry I can barely think straight",1
"I'm furious about how this was handled poorly",1
"This is infuriating and completely unacceptable behavior",1
"I'm livid and want to scream at the top of my lungs",1
"This pisses me off more than anything else could",1
"I'm enraged by the injustice and unfairness of it all",1
"This makes my blood boil with intense anger",1
"I'm seething with rage and can't calm down at all",1
"This is maddening and driving me absolutely insane",1
"I'm incensed by this blatant disrespect and rudeness",1
"This has me seeing red with pure fury",1
"I'm outraged and demand immediate accountability now",1
"This is aggravating beyond belief and tolerance",1
"I'm irate and feel like punching a wall right now",1
"This triggers my anger like nothing else can",1
"I'm hostile towards anyone defending this nonsense",1
"This is exasperating and testing my patience severely",1
"I'm resentful and bitter about what has happened",1
"This makes me want to rage and destroy things",1
"I'm indignant about this gross violation of trust",1
